"Penumbra Start Time (UTCG)","Umbra Start Time (UTCG)","Umbra Stop Time (UTCG)","Penumbra Stop Time (UTCG)","Obstruction","Duration (sec)","Max Percent Shadow","Time of Max Shadow (UTCG)"
3 Jul 2030 23:45:50.707,3 Jul 2030 23:46:04.054,4 Jul 2030 00:57:20.982,4 Jul 2030 00:57:43.879,"Jupiter",4313.172,100.000000,3 Jul 2030 23:46:04.054
6 Jul 2030 21:46:16.251,6 Jul 2030 21:46:29.945,6 Jul 2030 23:00:06.572,6 Jul 2030 23:00:30.167,"Jupiter",4453.915,100.000000,6 Jul 2030 21:46:29.945
9 Jul 2030 19:46:44.691,9 Jul 2030 19:46:58.734,9 Jul 2030 21:03:02.046,9 Jul 2030 21:03:26.369,"Jupiter",4601.678,100.000000,9 Jul 2030 19:46:58.734
12 Jul 2030 17:47:16.181,12 Jul 2030 17:47:30.587,12 Jul 2030 19:06:07.877,12 Jul 2030 19:06:32.957,"Jupiter",4756.775,100.000000,12 Jul 2030 17:47:30.587
15 Jul 2030 15:47:50.887,15 Jul 2030 15:48:05.674,15 Jul 2030 17:09:24.524,15 Jul 2030 17:09:50.395,"Jupiter",4919.509,100.000000,15 Jul 2030 15:48:05.674
18 Jul 2030 13:48:29.003,18 Jul 2030 13:48:44.186,18 Jul 2030 15:12:52.472,18 Jul 2030 15:13:19.170,"Jupiter",5090.166,100.000000,18 Jul 2030 13:48:44.186
21 Jul 2030 11:49:10.732,21 Jul 2030 11:49:26.324,21 Jul 2030 13:16:32.225,21 Jul 2030 13:16:59.790,"Jupiter",5269.058,100.000000,21 Jul 2030 11:49:26.324
24 Jul 2030 09:49:56.289,24 Jul 2030 09:50:12.309,24 Jul 2030 11:20:24.278,24 Jul 2030 11:20:52.744,"Jupiter",5456.455,100.000000,24 Jul 2030 09:50:12.309
27 Jul 2030 07:50:45.923,27 Jul 2030 07:51:02.389,27 Jul 2030 09:24:29.149,27 Jul 2030 09:24:58.560,"Jupiter",5652.637,100.000000,27 Jul 2030 07:51:02.389
30 Jul 2030 05:51:39.895,30 Jul 2030 05:51:56.829,30 Jul 2030 07:28:47.339,30 Jul 2030 07:29:17.744,"Jupiter",5857.850,100.000000,30 Jul 2030 05:51:56.829
2 Aug 2030 03:52:38.496,2 Aug 2030 03:52:55.921,2 Aug 2030 05:33:19.360,2 Aug 2030 05:33:50.807,"Jupiter",6072.311,100.000000,2 Aug 2030 03:52:55.921
