"Time (UTCG)","x (km)","y (km)","z (km)"
2 Nov 2030 21:09:58.699,327819775.489920,674124082.246690,280965914.892163
2 Nov 2030 22:09:58.699,327777391.486357,674139415.157228,280973518.800696
2 Nov 2030 23:09:58.699,327735006.563954,674154746.084224,280981121.902829
3 Nov 2030 00:09:58.699,327692620.673017,674170075.058072,280988724.212164
3 Nov 2030 01:09:58.699,327650233.759212,674185402.102108,280996325.738863
3 Nov 2030 02:09:58.699,327607845.764751,674200727.232059,281003926.489408
3 Nov 2030 03:09:58.699,327565456.629683,674216050.455604,281011526.466415
3 Nov 2030 04:09:58.699,327523066.293255,674231371.772132,281019125.668535
3 Nov 2030 05:09:58.699,327480674.695296,674246691.172680,281026724.090455
3 Nov 2030 06:09:58.699,327438281.777634,674262008.640070,281034321.722982
3 Nov 2030 07:09:58.699,327395887.485461,674277324.149234,281041918.553222
3 Nov 2030 08:09:58.699,327353491.768642,674292637.667743,281049514.564853
3 Nov 2030 09:09:58.699,327311094.582920,674307949.156510,281057109.738482
3 Nov 2030 10:09:58.699,327268695.890995,674323258.570668,281064704.052074
3 Nov 2030 11:09:58.699,327226295.663427,674338565.860583,281072297.481458
3 Nov 2030 12:09:58.699,327183893.879361,674353870.973000,281079890.000878
3 Nov 2030 13:09:58.699,327141490.527039,674369173.852269,281087481.583589
3 Nov 2030 14:09:58.699,327099085.604099,674384474.441641,281095072.202475
3 Nov 2030 15:09:58.699,327056679.117637,674399772.684581,281102661.830682
3 Nov 2030 16:09:58.699,327014271.084048,674415068.526085,281110250.442236
3 Nov 2030 17:09:58.699,326971861.528631,674430361.913952,281117838.012643
3 Nov 2030 18:09:58.699,326929450.484990,674445652.799985,281125424.519454
3 Nov 2030 19:09:58.699,326887037.994226,674460941.141093,281133009.942775
3 Nov 2030 20:09:58.699,326844624.103966,674476226.900260,281140594.265710
3 Nov 2030 21:09:58.699,326802208.867227,674491510.047361,281148177.474737
3 Nov 2030 22:09:58.699,326759792.341173,674506790.559813,281155759.559990
3 Nov 2030 23:09:58.699,326717374.585780,674522068.423026,281163340.515456
4 Nov 2030 00:09:58.699,326674955.662450,674537343.630678,281170920.339084
4 Nov 2030 01:09:58.699,326632535.632625,674552616.184790,281178499.032797
4 Nov 2030 02:09:58.699,326590114.556399,674567886.095593,281186076.602406
4 Nov 2030 03:09:58.699,326547692.491202,674583153.381246,281193653.057455
4 Nov 2030 04:09:58.699,326505269.490553,674598418.067373,281201228.410978
4 Nov 2030 05:09:58.699,326462845.602906,674613680.186442,281208802.679191
4 Nov 2030 06:09:58.699,326420420.870619,674628939.777014,281216375.881110
4 Nov 2030 07:09:58.699,326377995.329068,674644196.882880,281223948.038130
4 Nov 2030 08:09:58.699,326335569.005890,674659451.552097,281231519.173554
4 Nov 2030 09:09:58.699,326293141.920400,674674703.835943,281239089.312085
4 Nov 2030 10:09:58.699,326250714.083153,674689953.787810,281246658.479292
4 Nov 2030 11:09:58.699,326208285.495692,674705201.462049,281254226.701057
4 Nov 2030 12:09:58.699,326165856.150469,674720446.912792,281261794.003013
4 Nov 2030 13:09:58.699,326123426.030950,674735690.192762,281269360.409979
4 Nov 2030 14:09:58.699,326080995.111897,674750931.352116,281276925.945413
4 Nov 2030 15:09:58.699,326038563.359842,674766170.437311,281284490.630884
4 Nov 2030 16:09:58.699,325996130.733722,674781407.490043,281292054.485572
