"Penumbra Start Time (UTCG)","Umbra Start Time (UTCG)","Umbra Stop Time (UTCG)","Penumbra Stop Time (UTCG)","Obstruction","Duration (sec)","Max Percent Shadow","Time of Max Shadow (UTCG)"
22 May 2032 05:55:25.017,22 May 2032 05:55:27.410,22 May 2032 06:37:55.013,22 May 2032 06:37:57.338,"Jupiter",2552.321,100.000000,22 May 2032 05:55:27.410
25 May 2032 03:55:18.169,25 May 2032 03:55:20.544,25 May 2032 04:37:48.598,25 May 2032 04:37:50.939,"Jupiter",2552.770,100.000000,25 May 2032 03:55:20.544
28 May 2032 01:55:11.182,28 May 2032 01:55:13.535,28 May 2032 02:37:42.353,28 May 2032 02:37:44.711,"Jupiter",2553.530,100.000000,28 May 2032 01:55:13.535
30 May 2032 23:55:04.050,30 May 2032 23:55:06.384,31 May 2032 00:37:36.284,31 May 2032 00:37:38.663,"Jupiter",2554.614,100.000000,30 May 2032 23:55:06.384
2 Jun 2032 21:54:56.783,2 Jun 2032 21:54:59.102,2 Jun 2032 22:37:30.389,2 Jun 2032 22:37:32.790,"Jupiter",2556.006,100.000000,2 Jun 2032 21:54:59.102
5 Jun 2032 19:54:49.388,5 Jun 2032 19:54:51.686,5 Jun 2032 20:37:24.688,5 Jun 2032 20:37:27.108,"Jupiter",2557.721,100.000000,5 Jun 2032 19:54:51.686
8 Jun 2032 17:54:41.857,8 Jun 2032 17:54:44.141,8 Jun 2032 18:37:19.172,8 Jun 2032 18:37:21.617,"Jupiter",2559.760,100.000000,8 Jun 2032 17:54:44.141
11 Jun 2032 15:54:34.204,11 Jun 2032 15:54:36.468,11 Jun 2032 16:37:13.856,11 Jun 2032 16:37:16.323,"Jupiter",2562.119,100.000000,11 Jun 2032 15:54:36.468
14 Jun 2032 13:54:26.432,14 Jun 2032 13:54:28.679,14 Jun 2032 14:37:08.746,14 Jun 2032 14:37:11.233,"Jupiter",2564.800,100.000000,14 Jun 2032 13:54:28.679
17 Jun 2032 11:54:18.541,17 Jun 2032 11:54:20.774,17 Jun 2032 12:37:03.839,17 Jun 2032 12:37:06.348,"Jupiter",2567.807,100.000000,17 Jun 2032 11:54:20.774
20 Jun 2032 09:54:10.535,20 Jun 2032 09:54:12.751,20 Jun 2032 10:36:59.151,20 Jun 2032 10:37:01.684,"Jupiter",2571.149,100.000000,20 Jun 2032 09:54:12.751
23 Jun 2032 07:54:02.420,23 Jun 2032 07:54:04.621,23 Jun 2032 08:36:54.679,23 Jun 2032 08:36:57.239,"Jupiter",2574.819,100.000000,23 Jun 2032 07:54:04.621
26 Jun 2032 05:53:54.199,26 Jun 2032 05:53:56.386,26 Jun 2032 06:36:50.438,26 Jun 2032 06:36:53.018,"Jupiter",2578.820,100.000000,26 Jun 2032 05:53:56.386
29 Jun 2032 03:53:45.875,29 Jun 2032 03:53:48.052,29 Jun 2032 04:36:46.426,29 Jun 2032 04:36:49.036,"Jupiter",2583.161,100.000000,29 Jun 2032 03:53:48.052

