"Time (UTCG)","x (km)","y (km)","z (km)"
18 Apr 2032 23:09:58.699,-251808349.795793,669479076.293884,293095274.408503
19 Apr 2032 00:09:58.699,-251831552.636269,669503623.228263,293108742.991775
19 Apr 2032 01:09:58.699,-251858192.136945,669529458.905298,293122770.574818
19 Apr 2032 02:09:58.699,-251888362.786518,669556346.401311,293137245.099961
19 Apr 2032 03:09:58.699,-251922138.757187,669584043.075062,293152052.094609
19 Apr 2032 04:09:58.699,-251959573.517129,669612302.038939,293167075.364497
19 Apr 2032 05:09:58.699,-252000699.581485,669640873.648745,293182197.693878
19 Apr 2032 06:09:58.699,-252045528.401943,669669507.000625,293197301.547291
19 Apr 2032 07:09:58.699,-252094050.393647,669697951.423815,293212269.767622
19 Apr 2032 08:09:58.699,-252146235.096928,669725957.958237,293226986.265353
19 Apr 2032 09:09:58.699,-252202031.470122,669753280.806339,293241336.694083
19 Apr 2032 10:09:58.699,-252261368.308710,669779678.749154,293255209.107696
19 Apr 2032 11:09:58.699,-252324154.785105,669804916.517226,293268494.594860
19 Apr 2032 12:09:58.699,-252390281.102478,669828766.107749,293281087.886909
19 Apr 2032 13:09:58.699,-252459619.255380,669851008.040115,293292887.935531
19 Apr 2032 14:09:58.699,-252532023.889310,669871432.542883,293303798.457117
19 Apr 2032 15:09:58.699,-252607333.250856,669889840.666113,293313728.441012
19 Apr 2032 16:09:58.699,-252685370.219736,669906045.313839,293322592.619370
19 Apr 2032 17:09:58.699,-252765943.413879,669919872.192418,293330311.896705
19 Apr 2032 18:09:58.699,-252848848.358467,669931160.671291,293336813.737650
19 Apr 2032 19:09:58.699,-252933868.709952,669939764.553607,293342032.511835
19 Apr 2032 20:09:58.699,-253020777.526165,669945552.754905,293345909.795161
19 Apr 2032 21:09:58.699,-253109338.573720,669948409.888813,293348394.627097
19 Apr 2032 22:09:58.699,-253199307.664268,669948236.759445,293349443.723949
19 Apr 2032 23:09:58.699,-253290434.011471,669944950.760747,293349021.648335
20 Apr 2032 00:09:58.699,-253382461.596991,669938486.183772,293347100.935558
20 Apr 2032 01:09:58.699,-253475130.571201,669928794.432292,293343662.175955
20 Apr 2032 02:09:58.699,-253568178.561678,669915844.151741,293338694.060040
20 Apr 2032 03:09:58.699,-253661342.122759,669899621.266822,293332193.375559
20 Apr 2032 04:09:58.699,-253754358.039121,669880128.939563,293324164.972365
20 Apr 2032 05:09:58.699,-253846964.659860,669857387.441219,293314621.685354
20 Apr 2032 06:09:58.699,-253938903.218311,669831433.947271,293303584.221402
20 Apr 2032 07:09:58.699,-254029919.107727,669802322.255762,293291081.011339
20 Apr 2032 08:09:58.699,-254119763.123168,669770122.431242,293277148.027533
20 Apr 2032 09:09:58.699,-254208192.670129,669734920.378624,293261828.569004
20 Apr 2032 10:09:58.699,-254294972.932651,669696817.350121,293245173.015740
20 Apr 2032 11:09:58.699,-254379877.996054,669655929.387269,293227238.553223
20 Apr 2032 12:09:58.699,-254462691.924782,669612386.701046,293208088.868492
20 Apr 2032 13:09:58.699,-254543209.797174,669566332.995718,293187793.820289
20 Apr 2032 14:09:58.699,-254621238.695106,669517924.743734,293166429.086799
20 Apr 2032 15:09:58.699,-254696598.640333,669467330.417590,293144075.794054
20 Apr 2032 16:09:58.699,-254769123.466117,669414729.680048,293120820.125959
20 Apr 2032 17:09:58.699,-254838661.615182,669360312.528582,293096752.914197
20 Apr 2032 18:09:58.699,-254905076.862431,669304278.387526,293071969.204786
20 Apr 2032 19:09:58.699,-254968248.968605,669246835.144966,293046567.799550
20 Apr 2032 20:09:58.699,-255028074.273733,669188198.140438,293020650.775031
20 Apr 2032 21:09:58.699,-255084466.233779,669128589.118101,292994322.985725
20 Apr 2032 22:09:58.699,-255137355.893673,669068235.157781,292967691.557793
20 Apr 2032 23:09:58.699,-255186692.285192,669007367.575044,292940865.369278
21 Apr 2032 00:09:58.699,-255232442.750605,668946220.760528,292913954.502237
21 Apr 2032 01:09:58.699,-255274593.191561,668885031.105023,292887069.737695
21 Apr 2032 02:09:58.699,-255313148.226885,668824035.760480,292860321.972809
21 Apr 2032 03:09:58.699,-255348131.272616,668763471.491583,292833821.683038
21 Apr 2032 04:09:58.699,-255379584.532158,668703573.473674,292807678.359745
21 Apr 2032 05:09:58.699,-255407568.897764,668644574.090116,292781999.948778
21 Apr 2032 06:09:58.699,-255432163.760917,668586701.727175,292756892.289062
21 Apr 2032 07:09:58.699,-255453466.729898,668530179.571649,292732458.553666
21 Apr 2032 08:09:58.699,-255471593.253085,668475224.416879,292708798.696001
21 Apr 2032 09:09:58.699,-255486676.146919,668422045.483091,292686008.903941
21 Apr 2032 10:09:58.699,-255498865.027850,668370843.258370,292664181.064831
21 Apr 2032 11:09:58.699,-255508325.648131,668321808.366857,292643402.244456
21 Apr 2032 12:09:58.699,-255515239.135833,668275120.471061,292623754.183202
21 Apr 2032 13:09:58.699,-255519801.140139,668230947.215388,292605312.812713
21 Apr 2032 14:09:58.699,-255522220.883649,668189443.218198,292588147.796437
21 Apr 2032 15:09:58.699,-255522720.124203,668150749.119807,292572322.097516
21 Apr 2032 16:09:58.699,-255521532.029539,668114990.693913,292557891.577450
21 Apr 2032 17:09:58.699,-255518899.968939,668082278.029882,292544904.628992
21 Apr 2032 18:09:58.699,-255515076.226948,668052704.793214,292533401.846600
21 Apr 2032 19:09:58.699,-255510320.645099,668026347.571277,292523415.737724
21 Apr 2032 20:09:58.699,-255504899.198541,668003265.311086,292514970.477969
21 Apr 2032 21:09:58.699,-255499082.515326,667983498.855449,292508081.713033
21 Apr 2032 22:09:58.699,-255493144.346976,667967070.583269,292502756.409984
21 Apr 2032 23:09:58.699,-255487359.999801,667953984.159136,292498992.760178
22 Apr 2032 00:09:58.699,-255482004.737134,667944224.396573,292496780.135726
22 Apr 2032 01:09:58.699,-255477352.163352,667937757.238464,292496099.101008
22 Apr 2032 02:09:58.699,-255473672.601075,667934529.857201,292496921.480301
22 Apr 2032 03:09:58.699,-255471231.473414,667934470.876097,292499210.482065
22 Apr 2032 04:09:58.699,-255470287.703376,667937490.712493,292502920.879950
22 Apr 2032 05:09:58.699,-255471092.142785,667943482.041844,292507999.250029
22 Apr 2032 06:09:58.699,-255473886.042991,667952320.380900,292514384.263211
22 Apr 2032 07:09:58.699,-255478899.579564,667963864.786904,292522007.031250
22 Apr 2032 08:09:58.699,-255486350.442804,667977958.668567,292530791.504196
22 Apr 2032 09:09:58.699,-255496442.505449,667994430.703397,292540654.916637
22 Apr 2032 10:09:58.699,-255509364.578330,668013095.854921,292551508.279530
22 Apr 2032 11:09:58.699,-255525289.263921,668033756.482251,292563256.913998
22 Apr 2032 12:09:58.699,-255544371.916853,668056203.533553,292575801.023011
22 Apr 2032 13:09:58.699,-255566749.719396,668080217.814147,292589036.296512
22 Apr 2032 14:09:58.699,-255592540.878779,668105571.319223,292602854.545214
22 Apr 2032 15:09:58.699,-255621843.952016,668132028.620643,292617144.358074
22 Apr 2032 16:09:58.699,-255654737.302585,668159348.296808,292631791.778232
22 Apr 2032 17:09:58.699,-255691278.692035,668187284.394334,292646680.992097
22 Apr 2032 18:09:58.699,-255731505.008196,668215587.910116,292661695.026235
22 Apr 2032 19:09:58.699,-255775432.130421,668244008.282379,292676716.446703
22 Apr 2032 20:09:58.699,-255823054.930896,668272294.879479,292691628.055592
22 Apr 2032 21:09:58.699,-255874347.409914,668300198.475502,292706313.579684
22 Apr 2032 22:09:58.699,-255929262.961749,668327472.702145,292720658.346330
22 Apr 2032 23:09:58.699,-255987734.766730,668353875.466862,292734549.941950
23 Apr 2032 00:09:58.699,-256049676.304123,668379170.327924,292747878.848809
23 Apr 2032 01:09:58.699,-256114981.979565,668403127.817730,292760539.056137
23 Apr 2032 02:09:58.699,-256183527.859957,668425526.706527,292772428.641977
23 Apr 2032 03:09:58.699,-256255172.508347,668446155.199425,292783450.322555
23 Apr 2032 04:09:58.699,-256329757.910479,668464812.060613,292793511.966418
23 Apr 2032 05:09:58.699,-256407110.484592,668481307.659401,292802527.070932
23 Apr 2032 06:09:58.699,-256487042.165749,668495464.933680,292810415.199184
23 Apr 2032 07:09:58.699,-256569351.555731,668507120.267229,292817102.375746
23 Apr 2032 08:09:58.699,-256653825.129655,668516124.278129,292822521.440123
23 Apr 2032 09:09:58.699,-256740238.490414,668522342.516337,292826612.357082
23 Apr 2032 10:09:58.699,-256828357.662340,668525656.069227,292829322.483429
23 Apr 2032 11:09:58.699,-256917940.415606,668525962.074587,292830606.791088
23 Apr 2032 12:09:58.699,-257008737.613273,668523174.141195,292830428.046659
23 Apr 2032 13:09:58.699,-257100494.573157,668517222.677660,292828756.947857
23 Apr 2032 14:09:58.699,-257192952.437197,668508055.130704,292825572.217496
23 Apr 2032 15:09:58.699,-257285849.541327,668495636.134500,292820860.655846
23 Apr 2032 16:09:58.699,-257378922.779296,668479947.573030,292814617.152378
