"Time (UTCG)","x (km)","y (km)","z (km)"
7 Aug 2030 14:09:58.699,414097437.934458,636772009.192183,262842145.263170
7 Aug 2030 15:09:58.699,414117663.423669,636808576.902193,262860569.293206
7 Aug 2030 16:09:58.699,414134411.538937,636852977.270137,262882663.705344
7 Aug 2030 17:09:58.699,414146443.762818,636904659.537517,262908145.867607
7 Aug 2030 18:09:58.699,414152629.778395,636962913.695092,262936659.147493
7 Aug 2030 19:09:58.699,414151971.937743,637026887.363485,262967781.351149
7 Aug 2030 20:09:58.699,414143626.401583,637095605.661174,263001034.529212
7 Aug 2030 21:09:58.699,414126920.551000,637167993.517422,263035895.884522
7 Aug 2030 22:09:58.699,414101366.384619,637242899.857216,263071809.504311
7 Aug 2030 23:09:58.699,414066669.724483,637319123.073801,263108198.635779
8 Aug 2030 00:09:58.699,414022735.157063,637395437.209319,263144478.228065
8 Aug 2030 01:09:58.699,413969666.729678,637470618.282528,263180067.473915
8 Aug 2030 02:09:58.699,413907764.505213,637543470.231492,263214402.099530
8 Aug 2030 03:09:58.699,413837517.148584,637612849.976025,263246946.169764
8 Aug 2030 04:09:58.699,413759590.777176,637677691.146326,263277203.196654
8 Aug 2030 05:09:58.699,413674814.355423,637737026.068107,263304726.360942
8 Aug 2030 06:09:58.699,413584161.953629,637790005.637058,263329127.677145
8 Aug 2030 07:09:58.699,413488732.227931,637835916.748733,263350085.949160
8 Aug 2030 08:09:58.699,413389725.501681,637874197.008746,263367353.391771
8 Aug 2030 09:09:58.699,413288418.853018,637904446.466336,263380760.802482
8 Aug 2030 10:09:58.699,413186139.649163,637926436.166677,263390221.193562
8 Aug 2030 11:09:58.699,413084237.976581,637940113.349476,263395731.809685
8 Aug 2030 12:09:58.699,412984058.449061,637945603.164425,263397374.477535
8 Aug 2030 13:09:58.699,412886911.898485,637943206.819456,263395314.255730
8 Aug 2030 14:09:58.699,412794047.473202,637933396.128443,263389796.377901
8 Aug 2030 15:09:58.699,412706625.687656,637916804.482558,263381141.509448
8 Aug 2030 16:09:58.699,412625692.980060,637894214.334254,263369739.369533
8 Aug 2030 17:09:58.699,412552158.338320,637866541.354287,263356040.803948
8 Aug 2030 18:09:58.699,412486772.545221,637834815.499285,263340548.430998
8 Aug 2030 19:09:58.699,412430110.569357,637800159.308291,263323806.020664
8 Aug 2030 20:09:58.699,412382557.586733,637763763.829038,263306386.805811
8 Aug 2030 21:09:58.699,412344299.058416,637726862.655361,263288880.961598
8 Aug 2030 22:09:58.699,412315315.211347,637690704.632298,263271882.523705
8 Aug 2030 23:09:58.699,412295380.173124,637656525.850755,263255976.045518
9 Aug 2030 00:09:58.699,412284065.897656,637625521.603882,263241723.316395
9 Aug 2030 01:09:58.699,412280750.883087,637598819.000497,263229650.471979
9 Aug 2030 02:09:58.699,412284633.567079,637577450.959431,263220235.838888
9 Aug 2030 03:09:58.699,412294750.114198,637562332.256306,263213898.829070
9 Aug 2030 04:09:58.699,412309996.207371,637554238.292206,263210990.195392
9 Aug 2030 05:09:58.699,412329152.292338,637553787.143025,263211783.905979
9 Aug 2030 06:09:58.699,412350911.617696,637561425.376204,263216470.858286
9 Aug 2030 07:09:58.699,412373910.329048,637577418.014180,263225154.601012
9 Aug 2030 08:09:58.699,412396758.818185,637601842.890885,263237849.167660
9 Aug 2030 09:09:58.699,412418073.503200,637634589.508626,263254479.059054
9 Aug 2030 10:09:58.699,412436508.221090,637675362.365373,263274881.346925
9 Aug 2030 11:09:58.699,412450784.447846,637723688.592959,263298809.809619
9 Aug 2030 12:09:58.699,412459719.619057,637778929.630094,263325940.956552
9 Aug 2030 13:09:58.699,412462252.902842,637840296.554080,263355881.751698
9 Aug 2030 14:09:58.699,412457467.872061,637906868.614465,263388178.809638
9 Aug 2030 15:09:58.699,412444611.629257,637977614.451659,263422328.810740
